"age_calBP","past_temp","past_co2","modern_co2","present_t","recon_mi","corr_mi","corr_mi_20th","corr_P_ann","corr_P_ann_20th"
-62,13.15918,368.02,332.165,13.15918,0.425809,0.376050263669383,0.34313774759118,405.192218396884,369.729152176366
-56,12.86272,368.02,332.165,12.86272,0.471798,0.42211679574967,0.389258653211671,453.273763975874,417.990320873347
-50,11.884725,364.9,332.165,11.884725,0.506921,0.461800239821002,0.429376165578734,519.788432193317,483.292871423923
-43,13.09339,353.835,332.165,13.09339,0.566461,0.534960511555915,0.50170086994691,595.166364336956,558.163595818569
-38,12.203865,346.52,332.165,12.203865,0.528049,0.507134278663434,0.474432296968189,531.465821664061,497.194847874807
-31,11.8798,337.155,332.165,11.8798,0.52288,0.515461401981969,0.482912516604765,513.982683914778,481.527172405508
-25,11.49567,331.96,332.165,11.49567,0.562884,0.563192270470139,0.530731753538162,577.114891194111,543.851921015802
-19,12.52563,325.08,332.165,12.52563,0.438233,0.449181876534867,0.416444125862977,506.465165410657,469.552433229387
-13,12.889695,318.84,332.165,12.889695,0.468382,0.489527830756727,0.456492294834321,563.673662358656,525.634432816634
-6,13.13016,315.34,332.165,13.13016,0.483879,0.510998932494883,0.477776423690319,581.00217139804,543.228413906021
-1,12.70126,312,332.165,12.70126,0.493117,0.52573247156664,0.492714493657521,586.43963165943,549.609015613473
6,12.72497,311.29,332.165,12.72497,0.490124,0.523966339759231,0.490939479156342,559.469441307827,524.204734689191
12,11.8153,311.73,332.165,11.8153,0.524648,0.557321428567167,0.524707245654638,580.801996218333,546.813741739537
18,11.88823,308.26,332.165,11.88823,0.528909,0.56759183788862,0.53491463704303,579.81916130513,546.43801322772
24,13.540305,304.97,332.165,13.540305,0.429877,0.475255552120414,0.441885368317283,508.550648642578,472.842641565778
30,12.42386,301.88,332.165,12.42386,0.446556,0.496675192258988,0.463879148333935,526.522017258025,491.7551525653
36,12.921615,301,332.165,12.921615,0.550525,0.603075376249484,0.569748114087964,645.194526408725,609.539668038408
43,12.65301,299.63,332.165,12.65301,0.494339,0.548960651356596,0.515913527693003,595.407076265392,559.563903843297
48,12.37886,295.61,332.165,12.37886,0.486138,0.547968171204176,0.515073870463505,575.9370488317,541.363788033847
60,12.490615,290.92,332.165,12.490615,0.486739,0.557691364636154,0.52471270806538,581.05363255578,546.693465961199
