age,past_temp,past_co2,modern_co2,present_t,recon_mi
1655.9,12.36931467,278.4,340,11.5795742,0.330794535
2093.5,12.2788835,277.3,340,11.5795742,0.362554604
2239.4,12.81033616,277,340,11.5795742,0.33059316
2385.3,12.44436816,276.7,340,11.5795742,0.369150118
2725.7,15.09533438,276,340,11.5795742,0.324590535
2871.7,14.988073,275.7,340,11.5795742,0.312847941
2968.9,14.26138899,275.5,340,11.5795742,0.306397596
3066.1,13.89844117,275.3,340,11.5795742,0.342573792
3163.4,9.759079003,275.1,340,11.5795742,0.576732349
3309.3,11.3482288,274.7,340,11.5795742,0.462357803
3358,9.804684995,274.5,340,11.5795742,0.554706666
3455.3,12.41128181,274.3,340,11.5795742,0.40331504
3601.1,13.33192885,273.8,340,11.5795742,0.381771576
3844.3,11.33709656,273,340,11.5795742,0.462025363
4038.9,11.09470018,272.3,340,11.5795742,0.469622669
4087.5,10.33467509,272.1,340,11.5795742,0.507613246
4233.3,10.80492767,271.6,340,11.5795742,0.487219558
4427.9,9.170900855,270.8,340,11.5795742,0.641864604
4525.1,11.41982488,270.4,340,11.5795742,0.417120697
4719.6,9.034630164,269.7,340,11.5795742,0.609289683
4914.2,8.848266748,269,340,11.5795742,0.60916568
5011.3,8.783109956,268.6,340,11.5795742,0.627879298
5157.3,12.84690941,268.1,340,11.5795742,0.361863961
5254.5,12.9169141,267.7,340,11.5795742,0.354976128
5351.9,13.96393687,267.3,340,11.5795742,0.316056237
5497.7,11.83126825,266.7,340,11.5795742,0.412490641
5886.7,11.88589447,265,340,11.5795742,0.391133233
5935.4,13.24676711,264.8,340,11.5795742,0.339898597
5984.1,13.83203634,264.6,340,11.5795742,0.332253116
6470.4,13.67072708,262.7,340,11.5795742,0.350073633
6567.6,12.20460908,262.4,340,11.5795742,0.38914588
6713.5,11.94124417,262,340,11.5795742,0.407395348
6810.9,11.1418798,261.7,340,11.5795742,0.475833736
7005.4,11.11389079,261.4,340,11.5795742,0.430356324
7102.6,11.39824068,261.2,340,11.5795742,0.473056193
7199.9,11.58464483,261.1,340,11.5795742,0.442475602
7345.8,12.20306117,261,340,11.5795742,0.372048893
7491.9,12.88601042,260.9,340,11.5795742,0.370763158
7637.8,9.064651088,260.8,340,11.5795742,0.597089028
7783.9,9.333725247,260.8,340,11.5795742,0.584654121
7881.1,8.794354345,260.8,340,11.5795742,0.624371735
8027.1,8.13463546,260.8,340,11.5795742,0.740464504
8124.3,8.275212419,260.9,340,11.5795742,0.712412559
8173,9.20557051,260.9,340,11.5795742,0.538331788
8319,10.5180438,261,340,11.5795742,0.439784311
8464.9,7.902996838,261.1,340,11.5795742,0.747809125
8562.3,10.77591641,261.2,340,11.5795742,0.44461928
8659.5,10.1904456,261.2,340,11.5795742,0.442759064
8854.2,8.437032184,261.6,340,11.5795742,0.75469126
9194.8,13.25014099,262.8,340,11.5795742,0.176094778
9340.7,13.97342341,263.5,340,11.5795742,0.149749071
9389.3,13.6072775,263.8,340,11.5795742,0.14695994
9437.9,12.53181058,264.1,340,11.5795742,0.210791251
9535.1,13.05167325,264.5,340,11.5795742,0.156333799
9583.8,12.82185998,264.8,340,11.5795742,0.193001577
9681,13.80559523,265.3,340,11.5795742,0.151967372
9827,13.72057449,265.9,340,11.5795742,0.142178169
9973.1,8.12831203,266.4,340,11.5795742,0.663436326
10070.4,13.12631885,266.6,340,11.5795742,0.154033768
10216,9.600079948,266.8,340,11.5795742,0.499189321
10361.9,13.87780354,266.9,340,11.5795742,0.155930327
10507.8,9.140485107,266.9,340,11.5795742,0.534901113
10653.8,13.60681408,266.7,340,11.5795742,0.153565421
10751,10.06987099,266.6,340,11.5795742,0.488595029
10848.1,12.03932121,266.3,340,11.5795742,0.211316296
10945.4,8.492276764,266,340,11.5795742,0.686439426
11140,8.39624883,265,340,11.5795742,0.683706165
11237.4,7.884817714,264.4,340,11.5795742,0.760968233
11383.4,9.427712715,263,340,11.5795742,0.627492888
11480.7,8.205429926,262.1,340,11.5795742,0.788202813
11577.7,10.09593622,260.8,340,11.5795742,0.447060585
11675,9.024049523,259.4,340,11.5795742,0.632022258
11820.9,8.3408561,257,340,11.5795742,0.742890062
11966.7,9.145959462,254.4,340,11.5795742,0.515247988
12064,9.86431617,252.7,340,11.5795742,0.418832605
12161.3,6.686414487,251,340,11.5795742,1.124633196
12307.3,7.724060722,248.5,340,11.5795742,0.888035108
12404.3,8.423340997,246.9,340,11.5795742,0.687845715
12504.6,7.375107029,245.3,340,11.5795742,0.886041176
12605.1,7.612778546,244.1,340,11.5795742,0.968062491
12672.1,8.088367475,243.3,340,11.5795742,0.703922135
12739,6.824654698,242.5,340,11.5795742,1.117431665
12839.2,9.401961449,241.6,340,11.5795742,0.49690508
12939.5,7.019084161,240.7,340,11.5795742,1.160815422
13006.4,9.762095589,240.1,340,11.5795742,0.426723355
13073.4,7.053631449,239.6,340,11.5795742,1.028122046
13140.3,6.888843546,239.2,340,11.5795742,1.158162991
13240.7,7.004291036,238.6,340,11.5795742,1.059578982
13307.2,10.26300531,238.4,340,11.5795742,0.362069996
13374.3,9.914492323,238.4,340,11.5795742,0.396111785
13407.8,8.067141466,238.4,340,11.5795742,0.823121875
13474.6,10.86057701,238.3,340,11.5795742,0.300843216
13575,7.712267816,238.6,340,11.5795742,0.921017115
13675.2,10.15850913,239,340,11.5795742,0.397539342
13742.1,6.800775692,239.3,340,11.5795742,1.143546093
13809.1,7.188131409,239.5,340,11.5795742,1.052250493
13909.1,8.483452625,239.8,340,11.5795742,0.732591862
13976.1,10.01439549,240,340,11.5795742,0.410806528
14076.5,7.939902882,239.7,340,11.5795742,0.819861245
14243.7,7.508672796,238.9,340,11.5795742,0.998680971
14410.8,8.507830296,237.1,340,11.5795742,0.691887449
14577.8,7.896279956,235.2,340,11.5795742,0.832834262
14778.5,7.447234926,232.7,340,11.5795742,0.976159068
14878.8,7.823516371,231.4,340,11.5795742,0.913243715
15012.4,7.759372255,229.7,340,11.5795742,0.896741106
15046,7.941689934,229.3,340,11.5795742,0.884361324
15917.7,7.418363967,222,340,11.5795742,0.908882437
16085,11.95291335,220.3,340,11.5795742,0.266834828
22327.5,8.75020469,189.1,340,11.5795742,0.705856498
22836.3,8.543123651,188.1,340,11.5795742,0.634290209
23698,7.468589892,186.6,340,11.5795742,0.886967644
24206.4,8.378137372,186.4,340,11.5795742,0.635343969
24914,6.669084493,186.7,340,11.5795742,0.769435079
25577.7,9.989920315,187.3,340,11.5795742,0.397465114
25644.2,11.25337716,187.4,340,11.5795742,0.354327421
26087,13.87316403,187.8,340,11.5795742,0.204936783
26264.1,13.28228116,188,340,11.5795742,0.235557568
26414.2,12.11521218,188.2,340,11.5795742,0.263210641
26897,12.06458548,188.6,340,11.5795742,0.276575993
27038.9,12.89702152,188.7,340,11.5795742,0.227831458
27558.3,10.82007623,189.1,340,11.5795742,0.375245825
27876.4,10.03984846,189.4,340,11.5795742,0.414976417
27935.7,8.756042455,189.5,340,11.5795742,0.566637654
28006.3,12.28998773,189.6,340,11.5795742,0.279544334
28076.8,9.905439573,189.6,340,11.5795742,0.435997599
28171,10.56405378,189.7,340,11.5795742,0.348664484
28618.7,11.71521861,190,340,11.5795742,0.304098339
28736.5,10.69893347,190.1,340,11.5795742,0.346170554
28995.8,8.290057678,190.2,340,11.5795742,0.552609022
29301.3,11.10053589,190.4,340,11.5795742,0.341264145
29877,11.76372646,190.7,340,11.5795742,0.332595388
30017.8,9.334365814,190.7,340,11.5795742,0.499775761
30087.9,8.011004741,190.7,340,11.5795742,0.52595344
30227.7,10.16889035,190.7,340,11.5795742,0.381122317
30308.9,13.07569205,190.7,340,11.5795742,0.104337953
30367.4,12.39409203,190.7,340,11.5795742,0.254852549
30426.1,10.31340307,190.7,340,11.5795742,0.38381423
30495.4,9.807597205,190.7,340,11.5795742,0.458476942
30554.7,10.72628245,190.7,340,11.5795742,0.413035047
30566.5,10.81523689,190.8,340,11.5795742,0.370885582
30624.2,11.11092176,190.8,340,11.5795742,0.372774585
30629.9,7.500177103,190.8,340,11.5795742,0.659976539
30671.2,11.62063552,190.8,340,11.5795742,0.405121437
30768.4,11.61915614,190.8,340,11.5795742,0.364941501
30896.8,11.90411583,190.9,340,11.5795742,0.228672304
31151.4,7.707216461,191,340,11.5795742,0.68587894
31202.7,10.36564522,191.1,340,11.5795742,0.439761
37481.6,8.621656855,207.5,340,11.5795742,0.400005957
37550.9,9.294490808,207.5,340,11.5795742,0.317080532
38201.9,14.4218329,206.6,340,11.5795742,0.149336462
38313.3,13.14134582,206.5,340,11.5795742,0.172346245
38432.8,14.29310299,206.3,340,11.5795742,0.128405629
38457.9,12.86821493,206.2,340,11.5795742,0.198946703
38522.7,14.7337641,206.1,340,11.5795742,0.156402221
38643,14.27019519,205.8,340,11.5795742,0.122189838
38755.5,14.77342623,205.5,340,11.5795742,0.142125338
38822.4,15.50429324,205.3,340,11.5795742,0.112089154
38898.8,15.10593625,205.1,340,11.5795742,0.116388223
39088.6,15.12987424,204.6,340,11.5795742,0.151792686
40010.6,12.20404174,202.6,340,11.5795742,0.202487062
40128.3,12.20320669,202.2,340,11.5795742,0.159859727
40213.5,14.53982,202,340,11.5795742,0.100303053
40328.2,12.06368334,201.7,340,11.5795742,0.264318733
41509.1,6.319900721,201.1,340,11.5795742,0.810125144
42536.6,7.159639012,203.4,340,11.5795742,0.759896342
42680.8,6.651980275,203.8,340,11.5795742,0.812643018
43112.3,12.2468282,205.1,340,11.5795742,0.324276359
50103.4,11.69675181,212.1,340,11.5795742,0.319014784
50327.5,10.94162679,212.3,340,11.5795742,0.368426334
50494.6,11.14155355,212.4,340,11.5795742,0.3648163
50644.9,10.18073863,212.5,340,11.5795742,0.452932082
50794.7,11.53098973,212.7,340,11.5795742,0.320255545
51054.1,11.00887096,212.9,340,11.5795742,0.357834886
51372,15.59773665,213.1,340,11.5795742,0.174695067
51674.6,8.121311574,213.3,340,11.5795742,0.647547932
51917.3,11.74205613,213.5,340,11.5795742,0.327151543
52051.3,9.194941581,213.6,340,11.5795742,0.53053942
53474.9,8.876912391,214.5,340,11.5795742,0.567950467
53907.5,13.0761138,214.7,340,11.5795742,0.258430145
54566.8,12.85988607,215,340,11.5795742,0.233151497
57094.6,10.33146231,215.3,340,11.5795742,0.414956646
57790.9,8.96802769,214.9,340,11.5795742,0.70334936
58278.8,10.27202236,214.5,340,11.5795742,0.524065346
58577.4,12.42631624,214.1,340,11.5795742,0.290974105
58615.8,9.588725633,214,340,11.5795742,0.547774033
60003.3,10.02025355,211.8,340,11.5795742,0.634828863
61978.6,10.08317323,209.2,340,11.5795742,0.567094259
64182.3,11.13913447,209.9,340,11.5795742,0.449834252
65402.1,6.826227961,211.1,340,11.5795742,0.788157879
65662.3,7.0795682,211.4,340,11.5795742,0.787753967
65887.9,8.131311666,211.7,340,11.5795742,0.701659905
66099.6,10.63724487,212,340,11.5795742,0.438965182
66294,7.734885711,212.2,340,11.5795742,0.742209958
66450.3,7.864580403,212.4,340,11.5795742,0.736696176
66608.4,7.809102399,212.6,340,11.5795742,0.717606461
66764.1,11.62490119,212.8,340,11.5795742,0.31995848
66916.3,10.66539682,213,340,11.5795742,0.541047523
67125.4,8.508065841,213.3,340,11.5795742,0.666347856
67390.9,8.77087474,213.7,340,11.5795742,0.677762427
67520,9.20782017,213.8,340,11.5795742,0.594733992
67794.3,10.61233904,214.2,340,11.5795742,0.485935298
67904.8,11.6370442,214.4,340,11.5795742,0.389816189
68027.8,8.725630571,214.5,340,11.5795742,0.624259047
68193.9,11.58136348,214.7,340,11.5795742,0.391475373
69007.2,10.55395816,215.8,340,11.5795742,0.472316077
69145.4,10.04708309,216,340,11.5795742,0.450747826
69417.4,10.16347574,216.3,340,11.5795742,0.475825044
69696.6,10.77333678,216.8,340,11.5795742,0.514907297
70097.5,10.92556332,217.5,340,11.5795742,0.473460075
70400.9,10.30970002,218.1,340,11.5795742,0.548527095
70623,10.97530373,218.5,340,11.5795742,0.504128543
70849.2,9.75556054,219,340,11.5795742,0.584688866
71044.4,8.968506433,219.4,340,11.5795742,0.638730583
71279.3,8.744080699,220,340,11.5795742,0.688638057
71393,9.227672658,220.2,340,11.5795742,0.607153168
71680.6,8.453657641,220.9,340,11.5795742,0.675414599
71931,9.776834455,221.5,340,11.5795742,0.543685044
72956.6,11.32698492,224,340,11.5795742,0.503650967
73060.4,10.45845817,224.3,340,11.5795742,0.457693002
73179.3,10.98921181,224.6,340,11.5795742,0.454934563
73247.8,10.94173827,224.7,340,11.5795742,0.494958591
73356.3,13.44265358,225,340,11.5795742,0.270772893
73444.2,11.19976731,225.2,340,11.5795742,0.389494086
73581.4,12.58853867,225.5,340,11.5795742,0.318173863
73736.8,9.509299405,225.9,340,11.5795742,0.641119316
73826.7,12.67803933,226.1,340,11.5795742,0.347830687
73915,8.479175414,226.3,340,11.5795742,0.749419607
73970.2,12.27666533,226.4,340,11.5795742,0.320013812
74049.2,8.547721345,226.6,340,11.5795742,0.717374389
74151,9.458207956,226.8,340,11.5795742,0.681350769
74327.6,11.50976167,227.2,340,11.5795742,0.434181616
74502.5,10.73743802,227.6,340,11.5795742,0.50706605
74714.2,10.57566729,228,340,11.5795742,0.434248083
74796,13.04875526,228.2,340,11.5795742,0.344271979
75018.3,10.61991408,228.6,340,11.5795742,0.39922786
75239.4,11.52481481,229,340,11.5795742,0.330329876
75345.2,10.93548918,229.2,340,11.5795742,0.428451958
75588.4,14.84678562,229.5,340,11.5795742,0.17133016
75805,12.66276102,229.8,340,11.5795742,0.230501437
76022.3,13.41311389,230.1,340,11.5795742,0.203011049
76388.6,11.43654993,230.5,340,11.5795742,0.343708627
76495.4,9.903207252,230.6,340,11.5795742,0.461945599
77497.2,12.11234113,231.5,340,11.5795742,0.350544737
77713.4,13.04618183,231.7,340,11.5795742,0.283252684
77950.7,10.23140305,231.9,340,11.5795742,0.49141911
78145.2,11.89759837,232.1,340,11.5795742,0.342837887
78468.6,9.94364351,232.3,340,11.5795742,0.544042026
78624.9,9.541530649,232.5,340,11.5795742,0.63537798
78728.2,9.839326082,232.5,340,11.5795742,0.59138194
79501.5,11.73525465,233.1,340,11.5795742,0.29082376
79708,11.71922093,233.2,340,11.5795742,0.338229711
79925.7,12.71741277,233.4,340,11.5795742,0.242935212
80714.2,13.14753019,233.9,340,11.5795742,0.348505066
81138.2,15.29822894,234.2,340,11.5795742,0.223182342
81358.7,13.44468692,234.3,340,11.5795742,0.25587554
81623.3,10.43000247,234.5,340,11.5795742,0.523041752
81835,9.250155258,234.6,340,11.5795742,0.573802162
82893.5,10.57148827,235.2,340,11.5795742,0.465639061
83775.9,12.03590552,235.7,340,11.5795742,0.455085302
84637.1,7.976277523,236.2,340,11.5795742,0.72738538
84990.7,10.14009563,236.3,340,11.5795742,0.52387234
86230.5,12.4406676,236.4,340,11.5795742,0.371661056
87105.7,10.71573373,236.3,340,11.5795742,0.445743229
87895.4,11.75304194,236.1,340,11.5795742,0.389951545
93808.8,10.41012174,236,340,11.5795742,0.474058093
